c_rebound_x,c_rebound_y
285,518
319,528
439,533
346,512
492,526
321,503
245,530
287,498
222,517
341,515
337,533
351,508
347,508
276,524
309,522
457,547
329,509
394,467
344,504
334,519
246,495
444,556
269,516
354,512
330,520
346,512
275,508
273,491
237,510
268,509
280,534
343,517
301,513
277,498
337,500
311,466
242,481
397,472
403,494
224,521
342,450
338,434
258,518
275,501
247,288
79,475
298,489
275,497
241,500
205,522
307,498
323,501
132,411
299,491
307,493
276,529
196,487
280,500
346,508
343,522
198,461
343,535
324,486
319,457
312,485
447,440
478,499
279,512
248,500
391,434
353,529
211,517
293,514
470,527
336,499
349,513
326,522
349,513
370,529
258,522
334,496
353,529
321,495
387,526
358,515
190,476
341,500
357,526
238,522
300,505
339,496
333,514
253,526
348,511
312,471
360,515
290,524
287,503
353,506
349,522
328,535
258,502
345,509
346,525
412,460
208,492
291,510
447,539
282,539
327,487
279,511
253,518
356,499
353,502
343,509
328,499
367,316
307,493
338,473
302,503
290,494
285,512
394,445
344,513
294,518
353,511
261,499
273,518
426,526
306,485
279,515
297,498
362,477
337,515
330,499
349,513
212,507
255,522
249,478
282,506
342,494
232,508
271,451
275,518
354,504
286,522
356,518
299,508
224,510
272,509
278,511
313,492
297,510
266,512
336,500
369,518
306,498
320,512
336,519
320,518
230,464
295,532
225,513
304,369
434,398
286,497
277,531
284,523
387,511
348,519
341,510
285,527
288,523
264,522
309,494
291,512
175,523
371,519
299,507
216,505
270,526
284,516
139,411
307,507
306,467
335,514
300,498
294,503
328,489
245,500
270,521
256,511
252,518
279,519
340,518
206,514
419,474
379,510
427,513
396,541
382,513
361,502
249,454
142,508
266,522
316,509
251,518
334,510
282,510
183,519
332,506
280,503
284,444
302,506
370,498
319,491
206,476
330,514
274,497
359,490
316,509
282,505
321,495
359,510
271,514
320,502
297,507
320,498
263,522
217,508
288,493
231,464
309,505
283,525
267,493
285,486
273,511
295,515
411,478
365,510
323,505
305,481
253,493
348,498
335,473
339,500
279,512
367,504
312,503
412,486
345,514
237,507
300,473
285,513
333,484
238,485
337,487
247,466
243,461
245,522
264,499
348,528
274,503
326,514
268,503
342,477
287,494
258,502
283,498
233,495
292,487
328,508
278,514
277,506
364,501
341,518
275,517
335,518
292,503
402,440
317,502
309,504
175,520
380,507
348,514
200,511
274,500
297,485
358,501
361,486
264,501
333,503
273,496
271,515
275,516
236,511
345,514
281,519
312,495
306,512
288,517
308,506
176,487
293,501
187,464
141,531
257,491
260,310
300,500
255,514
326,531
358,527
215,494
328,486
318,512
329,494
276,466
336,492
261,524
239,512
281,505
255,514
146,464
264,457
340,336
196,482
311,480
278,527
278,502