c_shot_x,c_shot_y
213,491
304,509
276,245
362,522
413,253
391,250
457,533
302,473
303,241
77,357
322,518
243,505
524,506
263,529
338,528
434,277
494,319
49,492
340,310
259,508
157,536
68,387
478,484
137,496
383,500
345,485
426,360
451,283
583,499
358,491
193,500
413,485
306,238
294,429
45,413
280,252
558,406
50,400
153,428
144,525
243,248
281,314
195,255
290,238
473,258
142,277
526,346
475,386
309,327
102,329
257,453
316,478
111,300
304,477
380,500
415,462
58,400
324,312
200,260
276,516
289,246
343,534
190,480
404,463
314,456
568,437
402,258
381,497
206,488
314,227
193,533
564,448
349,520
522,338
284,458
52,388
312,450
558,394
310,245
514,522
326,439
94,344
93,344
598,529
520,348
180,274
129,307
236,507
307,247
276,494
387,455
312,463
22,527
547,372
485,308
17,520
299,460
422,262
334,455
504,461
304,457
590,492
324,219
201,493
305,215
418,373
280,515
542,342
124,424
331,375
419,498
594,487
404,254
88,323
113,519
289,466
127,292
279,509
346,398
435,282
417,248
341,498
218,258
494,311
358,521
27,490
131,462
532,521
22,505
514,335
337,376
39,432
595,485
482,407
195,343
120,470
207,342
579,425
411,254
115,328
31,473
307,228
149,419
287,476
598,500
461,386
69,362
288,516
42,406
458,282
356,431
593,505
307,486
481,277
100,334
17,528
236,484
279,517
282,516
433,537
307,246
353,518
443,243
435,284
587,457
414,277
273,516
347,514
500,283
190,277
20,521
358,490
356,497
521,346
306,353
392,247
590,478
43,430
287,469
23,510
295,324
236,487
141,307
349,493
576,396
275,507
445,253
312,460
192,268
511,323
419,270
266,319
356,243
31,425
352,497
30,432
197,267
476,522
153,257
133,544
38,430
436,282
541,358
461,287
380,252
277,502
569,406
348,520
246,518
149,292
251,248
233,241
22,468
324,489
535,361
174,265
550,397
279,322
463,257
27,483
27,496
335,225
24,487
472,301
446,283
333,240
354,498
378,495
471,493
494,321
275,491
89,351
239,487
335,489
378,246
155,284
345,504
332,491
126,298
29,473
194,497
336,321
310,242
98,291
270,451
240,242
263,500
522,342
371,524
299,245
260,513
562,393
110,328
267,506
354,229
216,250
370,475
546,371
110,301
466,521
576,433
410,486
242,503
323,475
120,422
574,434
437,274
487,297
308,458
372,332
270,229
212,492
347,505
413,261
103,328
123,507
197,499
245,507
226,502
184,261
136,359
270,508
108,522
393,252
467,294
251,332
496,259
218,218
37,426
358,333
302,431
232,411
362,231
163,408
278,465
543,315
193,224
304,486
417,429
315,241
498,324
310,243
25,466
203,498
21,500
276,241
560,392
26,476
288,486
127,301
212,490
148,286
382,307
104,312
392,501
185,385
359,398
453,282
393,527
518,328
354,479
247,510
404,250
262,223
359,232
77,348
366,476
217,520
405,491